uniqueTeamId,ABAB,ABCA,ABCB,ABCD,Total_Passes,High_pass_Ratio_Total,Low_pass_Ratio_Total,High_pass_Ratio_Zone2,Low_pass_Ratio_Zone2,High_pass_Ratio_Zone1,Low_pass_Ratio_Zone1,High_pass_Ratio_Zone3,Low_pass_Ratio_Zone3,Backward Pass_Zone_1 Ratio,Backward Pass_Zone_2 Ratio,Backward Pass_Zone_3 Ratio,Forward Pass_Zone_1 Ratio,Forward Pass_Zone_2 Ratio,Forward Pass_Zone_3 Ratio,Side Pass_Zone_1 Ratio,Side Pass_Zone_2 Ratio,Side Pass_Zone_3 Ratio,Backward Pass Ratio,Forward Pass Ratio,Side Pass Ratio,Total Shots,Far Shots Ratio,Middle Distance Shots Ratio,Near Shots Ratio,Connectivity
3165---2576130,0.020642201834862386,0.09174311926605505,0.0871559633027523,0.8004587155963303,439,0.1845102505694761,0.8086560364464692,0.11210762331838565,0.8834080717488789,0.1346153846153846,0.8653846153846154,0.375,0.6071428571428571,0.009111617312072893,0.05694760820045558,0.0683371298405467,0.08656036446469248,0.1845102505694761,0.05011389521640091,0.14123006833712984,0.26651480637813213,0.1366742596810934,0.13439635535307518,0.3211845102505695,0.5444191343963554,16.0,0.125,0.5625,0.3125,6.987179487179487
3165---2576140,0.05636743215031315,0.09603340292275574,0.09603340292275574,0.7515657620041754,482,0.17634854771784234,0.8132780082987552,0.14903846153846154,0.8365384615384616,0.12849162011173185,0.8715083798882681,0.3263157894736842,0.6526315789473685,0.01037344398340249,0.06016597510373444,0.02074688796680498,0.15352697095435686,0.17842323651452283,0.04564315352697095,0.2074688796680498,0.19294605809128632,0.13070539419087138,0.0912863070539419,0.3775933609958506,0.5311203319502075,8.0,0.125,0.75,0.125,6.351648351648351
3165---2576158,0.02880658436213992,0.1111111111111111,0.10493827160493827,0.7551440329218106,489,0.12474437627811862,0.8548057259713702,0.09621993127147767,0.8900343642611683,0.12222222222222222,0.8777777777777778,0.2037037037037037,0.7407407407407407,0.012269938650306749,0.07157464212678936,0.0408997955010225,0.06339468302658487,0.21267893660531698,0.05112474437627812,0.1083844580777096,0.310838445807771,0.12883435582822086,0.12474437627811862,0.32719836400818,0.5480572597137015,9.0,0.2222222222222222,0.4444444444444444,0.3333333333333333,6.948717948717949
3165---2576160,0.02292768959435626,0.08818342151675485,0.08641975308641975,0.8024691358024691,570,0.13333333333333333,0.856140350877193,0.12448132780082988,0.8589211618257261,0.13963963963963963,0.8603603603603603,0.14018691588785046,0.8411214953271028,0.04035087719298246,0.06315789473684211,0.05263157894736842,0.1280701754385965,0.1543859649122807,0.03684210526315789,0.22105263157894736,0.20526315789473684,0.09824561403508772,0.156140350877193,0.3192982456140351,0.5245614035087719,9.0,0.2222222222222222,0.6666666666666666,0.1111111111111111,7.274725274725275
3165---2576175,0.04807692307692308,0.09134615384615384,0.09134615384615384,0.7692307692307693,211,0.1943127962085308,0.7962085308056872,0.05714285714285714,0.9333333333333333,0.379746835443038,0.620253164556962,0.18518518518518517,0.7777777777777778,0.009478672985781991,0.0995260663507109,0.037914691943127965,0.21800947867298578,0.0995260663507109,0.014218009478672985,0.14691943127962084,0.2985781990521327,0.07582938388625593,0.14691943127962084,0.33175355450236965,0.5213270142180095,1.0,0.0,0.0,1.0,5.362637362637362
3165---2576179,0.018691588785046728,0.08099688473520249,0.08411214953271028,0.8161993769470405,324,0.21604938271604937,0.7808641975308642,0.17692307692307693,0.823076923076923,0.22950819672131148,0.7704918032786885,0.2638888888888889,0.7222222222222222,0.030864197530864196,0.08024691358024691,0.033950617283950615,0.21604938271604937,0.1574074074074074,0.04938271604938271,0.12962962962962962,0.16358024691358025,0.1388888888888889,0.14506172839506173,0.4228395061728395,0.43209876543209874,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,7.7032967032967035
3165---2576193,0.023554603854389723,0.10278372591006424,0.1006423982869379,0.7730192719486081,470,0.1723404255319149,0.8170212765957446,0.11504424778761062,0.8716814159292036,0.2214765100671141,0.7785234899328859,0.23157894736842105,0.7473684210526316,0.02553191489361702,0.07021276595744681,0.0425531914893617,0.14468085106382977,0.18085106382978725,0.05531914893617021,0.14680851063829786,0.2297872340425532,0.10425531914893617,0.13829787234042554,0.38085106382978723,0.4808510638297872,4.0,0.5,0.25,0.25,7.582417582417582
3165---2576199,0.049886621315192746,0.10204081632653061,0.10657596371882086,0.7414965986394558,444,0.20495495495495494,0.7837837837837838,0.1358695652173913,0.8641304347826086,0.26229508196721313,0.7377049180327869,0.2463768115942029,0.717391304347826,0.018018018018018018,0.05630630630630631,0.08783783783783784,0.12612612612612611,0.1373873873873874,0.07432432432432433,0.13063063063063063,0.22072072072072071,0.14864864864864866,0.16216216216216217,0.33783783783783783,0.5,7.0,0.2857142857142857,0.5714285714285714,0.14285714285714285,7.549450549450549
3165---2576211,0.05502392344497608,0.10526315789473684,0.10047846889952153,0.7392344497607656,421,0.20190023752969122,0.7838479809976246,0.12941176470588237,0.8647058823529412,0.23809523809523808,0.7619047619047619,0.27710843373493976,0.6626506024096386,0.030878859857482184,0.09501187648456057,0.028503562945368172,0.19002375296912113,0.1330166270783848,0.047505938242280284,0.17814726840855108,0.17577197149643706,0.12114014251781473,0.1543942992874109,0.37054631828978624,0.4750593824228028,5.0,0.2,0.4,0.4,7.65934065934066
3165---2576228,0.035916824196597356,0.09073724007561437,0.09262759924385633,0.780718336483932,532,0.16541353383458646,0.8214285714285714,0.10476190476190476,0.8857142857142857,0.2222222222222222,0.7777777777777778,0.2967032967032967,0.6593406593406593,0.015037593984962405,0.09210526315789473,0.02819548872180451,0.10902255639097744,0.21804511278195488,0.039473684210526314,0.11278195488721804,0.2819548872180451,0.10338345864661654,0.13533834586466165,0.36654135338345867,0.4981203007518797,6.0,0.3333333333333333,0.16666666666666666,0.5,6.1098901098901095
