uniqueTeamId,Air duel_Zone_1,Air duel_Zone_2,Air duel_Zone_3,Foul_Zone_1,Foul_Zone_2,Foul_Zone_3,Ground attacking duel_Zone_1,Ground attacking duel_Zone_2,Ground attacking duel_Zone_3,Ground defending duel_Zone_1,Ground defending duel_Zone_2,Ground defending duel_Zone_3,Ground loose ball duel_Zone_1,Ground loose ball duel_Zone_2,Ground loose ball duel_Zone_3,Touch_Zone_1,Touch_Zone_2,Touch_Zone_3,Acceleration,Air duel,Clearance,Foul,Goalkeeper leaving line,Ground attacking duel,Ground defending duel,Ground loose ball duel,Hand foul,Late card foul,Out of game foul,Protest,Simulation,Time lost foul,Touch,Violent Foul,Zone_1_Run,Zone_2_Run,Zone_3_Run,Backward Run,Forward Run,Side Run,Short Run,Middle Run,Long Run,average_acceleration_length,Forward_Runs_Zone_3
2455---2516925,4,16,6,3,4,1,6,17,16,26,16,7,12,13,4,14,7,4,6,26,6,8,0,39,49,29,0,0,0,0,0,0,25,0,1.0,5.0,0.0,0.0,6.0,0.0,4.0,1.0,1.0,22.930797865955316,0.0
2455---2516935,5,19,8,1,4,1,7,25,12,22,30,5,10,32,11,12,17,4,5,32,9,6,0,44,57,53,0,0,0,0,0,0,33,0,1.0,4.0,0.0,0.0,5.0,0.0,1.0,4.0,0.0,24.5579056493397,0.0
2455---2516937,5,19,8,3,7,0,9,15,23,15,23,5,11,18,5,12,14,9,3,32,7,10,0,47,43,34,0,0,0,0,0,0,35,0,0.0,2.0,1.0,0.0,3.0,0.0,1.0,2.0,0.0,25.618950029068714,1.0
2455---2516953,5,10,11,1,4,3,8,13,31,25,19,12,9,20,19,7,15,11,8,26,10,8,0,52,56,48,0,0,0,0,0,0,33,0,2.0,6.0,0.0,0.0,8.0,0.0,2.0,5.0,1.0,26.58605097874555,0.0
2455---2516960,8,20,16,3,2,3,7,22,22,21,17,4,10,13,12,9,11,7,4,44,5,8,0,51,42,35,0,0,0,0,0,0,27,0,1.0,2.0,1.0,0.0,4.0,0.0,1.0,3.0,0.0,27.088996170785343,1.0
2455---2516971,10,17,7,0,5,1,7,21,12,11,17,1,7,21,7,9,17,4,3,34,5,6,0,40,29,35,0,0,0,0,0,0,30,0,2.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,19.78605299609955,0.0
2455---2516973,8,14,5,1,5,1,16,23,8,25,18,0,5,11,9,14,7,4,6,27,10,7,0,47,43,25,0,0,0,0,0,0,25,0,2.0,3.0,1.0,0.0,6.0,0.0,4.0,1.0,1.0,22.99255420590787,1.0
2455---2516989,10,22,13,2,3,2,16,35,15,29,37,23,7,18,13,6,13,5,7,45,3,7,1,66,89,38,0,0,1,0,0,0,24,0,1.0,4.0,2.0,0.0,6.0,1.0,2.0,4.0,1.0,25.222407159192993,1.0
2455---2516999,4,18,1,0,6,3,3,21,14,21,11,4,3,16,3,6,18,5,8,23,4,9,0,38,36,22,0,0,0,0,0,0,29,0,2.0,5.0,1.0,0.0,8.0,0.0,3.0,3.0,2.0,26.63562097983136,1.0
2455---2517008,3,11,8,1,1,1,4,9,13,14,13,9,4,12,6,12,18,5,1,22,7,3,0,26,36,22,0,0,0,0,0,0,35,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,20.46264889988586,0.0
