,ABAB,ABCA,ABCB,ABCD,Total_Passes,High_pass_Ratio_Total,Low_pass_Ratio_Total,Smart_pass_Ratio_Total,High_pass_Ratio_Zone2,Low_pass_Ratio_Zone2,High_pass_Ratio_Zone3,Low_pass_Ratio_Zone3,High_pass_Ratio_Zone1,Low_pass_Ratio_Zone1,Backward Pass_Zone_1 Ratio,Backward Pass_Zone_2 Ratio,Backward Pass_Zone_3 Ratio,Forward Pass_Zone_1 Ratio,Forward Pass_Zone_2 Ratio,Forward Pass_Zone_3 Ratio,Side Pass_Zone_1 Ratio,Side Pass_Zone_2 Ratio,Side Pass_Zone_3 Ratio,Backward Pass Ratio,Forward Pass Ratio,Side Pass Ratio,Short Ratio,Middle Ratio,Long Ratio,average_pass_length,Total Shots,Far Shots Ratio,Middle Distance Shots Ratio Ratio,Near Shots Ratio,Connectivity
3767---2500778,0.05185185185185185,0.10740740740740741,0.1,0.7407407407407407,273,0.08791208791208792,0.8974358974358975,0.014652014652014652,0.05732484076433121,0.9363057324840764,0.16666666666666666,0.7333333333333333,0.11627906976744186,0.8837209302325582,0.02564102564102564,0.047619047619047616,0.014652014652014652,0.10256410256410256,0.20512820512820512,0.02564102564102564,0.18681318681318682,0.32234432234432236,0.0695970695970696,0.08791208791208792,0.3333333333333333,0.5787545787545788,0.4065934065934066,0.31868131868131866,0.27472527472527475,20.497836158006866,1.0,0.0,0.003663003663003663,0.0,6.166666666666667
3767---2500793,0.04639175257731959,0.08247422680412371,0.08247422680412371,0.788659793814433,391,0.061381074168797956,0.928388746803069,0.010230179028132993,0.05429864253393665,0.9457013574660633,0.1,0.8333333333333334,0.05454545454545454,0.9454545454545454,0.015345268542199489,0.09207161125319693,0.05115089514066496,0.09974424552429667,0.1483375959079284,0.023017902813299233,0.16624040920716113,0.3248081841432225,0.0792838874680307,0.1585677749360614,0.2710997442455243,0.5703324808184144,0.4833759590792839,0.3171355498721228,0.19948849104859334,19.86127531492387,7.0,0.0,0.0014614541468761417,0.42857142857142855,7.197802197802198
3767---2500796,0.03614457831325301,0.08433734939759036,0.0783132530120482,0.8012048192771084,335,0.05373134328358209,0.9313432835820895,0.014925373134328358,0.05649717514124294,0.9322033898305084,0.10256410256410256,0.8461538461538461,0.03361344537815126,0.957983193277311,0.023880597014925373,0.05970149253731343,0.029850746268656716,0.12238805970149254,0.14328358208955225,0.029850746268656716,0.208955223880597,0.3253731343283582,0.056716417910447764,0.11343283582089553,0.2955223880597015,0.591044776119403,0.4537313432835821,0.3283582089552239,0.21791044776119403,18.778717932318706,1.0,1.0,0.0,0.0,5.736263736263736
3767---2500813,0.05172413793103448,0.07471264367816093,0.07183908045977011,0.8017241379310345,351,0.042735042735042736,0.9259259259259259,0.03133903133903134,0.034722222222222224,0.9375,0.06666666666666667,0.8166666666666667,0.04081632653061224,0.9591836734693877,0.045584045584045586,0.045584045584045586,0.07407407407407407,0.14245014245014245,0.14245014245014245,0.037037037037037035,0.23076923076923078,0.2222222222222222,0.05982905982905983,0.16524216524216523,0.32193732193732194,0.5128205128205128,0.33618233618233617,0.39886039886039887,0.26495726495726496,23.72627581487969,14.0,0.2857142857142857,0.0010175010175010174,0.35714285714285715,6.472527472527473
3767---2500820,0.02786377708978328,0.06191950464396285,0.07120743034055728,0.8390092879256966,326,0.0736196319018405,0.8865030674846626,0.03987730061349693,0.05217391304347826,0.9043478260869565,0.09302325581395349,0.7441860465116279,0.08333333333333333,0.9107142857142857,0.05521472392638037,0.06441717791411043,0.03067484662576687,0.147239263803681,0.12883435582822086,0.024539877300613498,0.3128834355828221,0.15950920245398773,0.07668711656441718,0.15030674846625766,0.3006134969325153,0.549079754601227,0.43558282208588955,0.3128834355828221,0.25153374233128833,19.90042022187999,5.0,0.4,0.001226993865030675,0.2,6.967032967032967
3767---2500833,0.0339943342776204,0.0708215297450425,0.07365439093484419,0.8215297450424929,356,0.06741573033707865,0.8848314606741573,0.047752808988764044,0.0427807486631016,0.9144385026737968,0.11320754716981132,0.8018867924528302,0.06349206349206349,0.9365079365079365,0.008426966292134831,0.042134831460674156,0.08146067415730338,0.08707865168539326,0.1797752808988764,0.05056179775280899,0.08146067415730338,0.30337078651685395,0.16573033707865167,0.13202247191011235,0.31741573033707865,0.550561797752809,0.31179775280898875,0.34831460674157305,0.3398876404494382,25.423708311679327,11.0,0.36363636363636365,0.0010214504596527069,0.2727272727272727,6.6923076923076925
3767---2500844,0.045454545454545456,0.07467532467532467,0.06493506493506493,0.814935064935065,311,0.05466237942122187,0.9260450160771704,0.01929260450160772,0.04864864864864865,0.9351351351351351,0.11594202898550725,0.8405797101449275,0.0,1.0,0.0,0.06752411575562701,0.02572347266881029,0.09646302250803858,0.22508038585209003,0.06752411575562701,0.08681672025723473,0.3022508038585209,0.12861736334405144,0.0932475884244373,0.3890675241157556,0.5176848874598071,0.3987138263665595,0.3247588424437299,0.2765273311897106,20.5723749049701,7.0,0.14285714285714285,0.0018373909049150205,0.2857142857142857,5.8791208791208796
3767---2500854,0.04285714285714286,0.06285714285714286,0.06857142857142857,0.8257142857142857,353,0.04815864022662889,0.9235127478753541,0.028328611898016998,0.044642857142857144,0.9375,0.058823529411764705,0.8235294117647058,0.05128205128205128,0.9487179487179487,0.0113314447592068,0.07365439093484419,0.039660056657223795,0.07932011331444759,0.1671388101983003,0.031161473087818695,0.13031161473087818,0.3937677053824363,0.07365439093484419,0.12464589235127478,0.2776203966005666,0.5977337110481586,0.4164305949008499,0.3342776203966006,0.24929178470254956,21.086428224483633,7.0,0.2857142857142857,0.0012140833670578712,0.2857142857142857,7.3076923076923075
3767---2500862,0.04564315352697095,0.08713692946058091,0.0912863070539419,0.7759336099585062,244,0.06557377049180328,0.9180327868852459,0.01639344262295082,0.01,0.98,0.1346153846153846,0.8076923076923077,0.08695652173913043,0.9130434782608695,0.03278688524590164,0.045081967213114756,0.03278688524590164,0.13114754098360656,0.10245901639344263,0.06147540983606557,0.21311475409836064,0.26229508196721313,0.11885245901639344,0.11065573770491803,0.29508196721311475,0.5942622950819673,0.4057377049180328,0.3319672131147541,0.26229508196721313,20.209811574005744,7.0,0.14285714285714285,0.00234192037470726,0.2857142857142857,6.115384615384615
3767---2500874,0.026392961876832845,0.08211143695014662,0.08211143695014662,0.8093841642228738,344,0.06395348837209303,0.9156976744186046,0.020348837209302327,0.047619047619047616,0.9319727891156463,0.11428571428571428,0.8428571428571429,0.05511811023622047,0.937007874015748,0.023255813953488372,0.07848837209302326,0.05232558139534884,0.13953488372093023,0.13662790697674418,0.0436046511627907,0.2063953488372093,0.21220930232558138,0.10755813953488372,0.15406976744186046,0.31976744186046513,0.5261627906976745,0.39244186046511625,0.3313953488372093,0.2761627906976744,22.51432963406305,9.0,0.2222222222222222,0.001937984496124031,0.1111111111111111,7.516483516483516
