uniqueTeamId,Air duel_Zone_1,Air duel_Zone_2,Air duel_Zone_3,Foul_Zone_1,Foul_Zone_2,Foul_Zone_3,Ground attacking duel_Zone_1,Ground attacking duel_Zone_2,Ground attacking duel_Zone_3,Ground defending duel_Zone_1,Ground defending duel_Zone_2,Ground defending duel_Zone_3,Ground loose ball duel_Zone_1,Ground loose ball duel_Zone_2,Ground loose ball duel_Zone_3,Touch_Zone_1,Touch_Zone_2,Touch_Zone_3,Acceleration,Air duel,Clearance,Foul,Goalkeeper leaving line,Ground attacking duel,Ground defending duel,Ground loose ball duel,Hand foul,Late card foul,Out of game foul,Protest,Simulation,Time lost foul,Touch,Violent Foul,Zone_1_Run,Zone_2_Run,Zone_3_Run,Backward Run,Forward Run,Side Run,Short Run,Middle Run,Long Run,average_acceleration_length,Forward_Runs_Zone_3
691---2565816,16,27,12,5,5,3,6,30,36,38,27,12,11,24,26,9,18,16,4,55,11,13,3,72,77,61,0,0,0,0,0,0,43,0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,33.63476621376644,0.0
691---2565823,5,19,15,1,9,6,7,20,32,37,28,14,9,19,7,19,16,16,5,39,7,16,2,59,79,35,3,0,0,0,0,0,51,0,0.0,4.0,1.0,0.0,5.0,0.0,2.0,2.0,1.0,23.990225532878615,1.0
691---2565837,5,12,1,0,8,1,9,25,13,31,42,4,9,16,7,11,11,5,1,18,11,9,1,47,77,32,2,0,0,2,0,0,27,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,31.50872894929277,0.0
691---2565838,17,29,11,7,4,6,11,21,27,18,22,12,14,16,12,20,17,15,4,57,14,17,1,59,52,42,1,0,0,1,0,0,52,0,1.0,2.0,1.0,0.0,3.0,1.0,1.0,0.0,3.0,32.78030414970381,0.0
691---2565851,4,13,4,1,5,4,11,21,33,31,21,18,4,15,1,9,20,11,5,21,5,10,3,65,70,20,0,0,0,0,0,0,40,0,1.0,4.0,0.0,0.0,5.0,0.0,1.0,1.0,3.0,31.84948596204117,0.0
691---2565862,13,18,17,6,5,2,12,25,27,33,20,15,14,23,6,20,19,8,4,48,16,13,2,64,68,43,0,0,0,0,0,0,47,0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,50.49117309105418,0.0
691---2565871,13,25,24,6,5,5,14,23,37,34,35,14,9,29,23,17,23,6,5,62,24,16,1,74,83,61,1,0,0,1,0,0,46,0,3.0,1.0,1.0,0.0,5.0,0.0,2.0,3.0,0.0,26.256059524815306,1.0
691---2565880,25,13,8,7,11,0,15,32,13,56,28,12,26,14,6,22,15,6,3,46,27,18,3,60,96,46,0,0,0,0,0,0,43,0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,32.96851379932044,0.0
691---2565897,19,8,12,4,6,6,12,38,25,23,31,9,12,18,16,14,9,11,9,39,23,16,1,75,63,46,2,0,0,1,0,0,34,0,3.0,6.0,0.0,0.0,7.0,2.0,4.0,3.0,2.0,27.231969352221725,0.0
691---2565899,22,13,5,4,8,1,8,28,30,30,26,12,16,9,7,31,16,16,3,40,12,13,3,66,68,32,0,0,0,2,0,0,63,0,2.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,23.584645625767024,0.0
